Response ID,Questionnaire Type,Session ID,Submission Time,Q1. What agency do you work for?,Q2. At what level do you work?,Q3. What position do you currently hold?,Q4. How many years of experience do you have in road asset management?,Q5. What is your primary involvement?,Q6. Which of the following indicators are primarily used to assess or report pavement condition in the road network you work with?,Q7. To what degree are maintenance planning decisions in your network linked to documented pavement condition data and technical analysis?,"Q8. In your experience, which of the following factors most influence annual maintenance and rehabilitation prioritization in your network?","Q9. Does your agency maintain repeated condition measurements (e.g., IRI or visual surface condition ratings) for the same road sections over multiple years?","Q10. Are maintenance histories (records of when and where routine, periodic, rehabilitation and reconstruction treatments were applied over multiple years) kept and linked to condition data?","Q11. Do you agree or disagree with the following statement? ""Availability of historical pavement condition records and maintenance history information affects planning decisions.""","Q12. Based on your experience, are some types of roads more likely than others to receive condition measurements (e.g., IRI)? If you answer Yes, please complete Q13 below. If you answer No or Not sure, you may leave Q13 blank",Q13. What factors influence measurement coverage in your experience? (Complete only if you answered Yes to Q12.),"Q14. In your experience, does road condition influence where instrumented condition measurements (e.g., IRI) are carried out?","Q15. Do you agree or disagree with the following statement? ""Differences in measurement coverage across the road network influence maintenance planning outcomes.""",Q16. Does your agency use any formal method to forecast future pavement condition?,"Q17. Do you agree or disagree with the following statement? ""Current forecasting approaches reflect actual pavement deterioration patterns observed in the field.""",Q18. What are the biggest barriers to structured deterioration modelling?,If deterioration forecasts wer – Multi-year budgeting,If deterioration forecasts wer – Treatment timing decisions,If deterioration forecasts wer – Network-level optimisation,If deterioration forecasts wer – Risk-based prioritisation,If deterioration forecasts wer – Justification of funding requests,"Q20. Where condition data are missing, how likely are you to consider the usage of analytical methods to estimate condition based on available network characteristics (e.g., road class, traffic level, pavement type, drainage condition, shoulder type, environmental and regional context)?",Q21. Under what conditions would you consider model-estimated or reconstructed condition data reliable for planning decisions?,If model-estimated or reconstr – Network-level performance analysis,If model-estimated or reconstr – Life-cycle modelling and long-term planning,If model-estimated or reconstr – Treatment timing and optimisation,If model-estimated or reconstr – Budget allocation and justification,Q23. How familiar are you with the usage of road infrastructure database for improving road maintenance planning and decision making?,Q24. How familiar are you with the application of Artificial Intelligence (AI) for improving road maintenance planning and decision making?,Q25. How familiar are you with the application of data analytics for improving road maintenance planning and decision making?,Q26. How familiar are you with the application of Multi-Criteria Decision Analysis (MCDA) for improving road maintenance planning and decision making?,"Q27. What practical improvements in data systems, institutional approaches, or technical capacity would most strengthen pavement performance management in Kenya?","Q28. Do you have any additional comments or recommendations regarding forecasting, modelling, or use of condition data in road asset management and planning?"
58,Pavement Management,session_1776141802_1cef1f0d,2026-04-14 08:16:52,KeRRA,Headquarters (national coordination),Director,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury; Policy formulation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Engineer/Inspector judgement; Equity considerations (across regions/constituencies)","Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded and partially linked to condition data,Agree,Yes,Traffic importance; Budget limitations; Equipment availability or personnel skills; Roads under special programmes,Yes – measurements tend to focus on roads in poorer condition,Neither agree nor disagree,Informal engineering judgement,Neither agree nor disagree,"Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning)",Large impact,Large impact,Moderate impact,Moderate impact,Large impact,Likely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Quantified uncertainty (e.g. confidence ranges); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Moderately useful,Very useful,Very useful,Very useful,Moderately familiar,Moderately familiar,Moderately familiar,Very familiar,Adoption of modern information technology particularly AI would go a long way in strengthening pavement performance management in the country,It's critical that professionals responsible in road asset management and planning adopt accurate forecasting and modelling techniques so that timely interventions are put in place before pavement performance is compromised.
57,Pavement Management,session_1776104061_183220bf,2026-04-13 21:37:13,KeRRA,Headquarters (national coordination),Director,> 20 years,Policy formulation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a small degree,Budget ceilings,No systematic continuity (measurements are not repeated for the same sections),Not systematically recorded,Strongly agree,Yes,Road class/strategic priority,Yes – measurements tend to focus on roads in better condition,Strongly agree,No formal forecasting,Agree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Budget constraints; Software/tool limitations,Large impact,Very large impact,Very large impact,Very large impact,Very large impact,Likely to consider,Transparent modelling approach (clear methods and assumptions); Independent technical review or validation,Very useful,Very useful,Very useful,Very useful,Very familiar,Not at all familiar,Moderately familiar,Not at all familiar,Full ERP in operations,Models require require validation for consistency with changing environments
56,Pavement Management,session_1775716036_e95dc07c,2026-04-09 09:53:57,KeRRA,"Regional office (regional work planning, implementation)",Assistant Director/Principal Engineer,> 20 years,Pavement condition assessment; Maintenance planning/prioritisation; Road Management System (RMS) development and use/Data management; Other (specify): Supervision of works - Qua;ity and Quantity Monitoring and approval,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a large degree,Budget ceilings; Political or policy direction; Public complaints; Emergency requirements; Maintenance history; Engineer/Inspector judgement; Equity considerations (across regions/constituencies),Somewhat consistent continuity (repeated measurements for many sections),Recorded but generally not linked to condition data,Neither agree nor disagree,Yes,Road class/strategic priority; Budget limitations; Equipment availability or personnel skills; Roads under special programmes,Yes – measurements tend to focus on roads in better condition,Strongly agree,Informal engineering judgement,Disagree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Difficult accessibility of historical records; Institutional culture favouring established decision practices over analytical modelling,Very large impact,Large impact,Very large impact,Very large impact,Large impact,Likely to consider,"Demonstrated agreement with measured field data; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Extremely useful,Extremely useful,Very useful,Extremely useful,Slightly familiar,Not at all familiar,Moderately familiar,Slightly familiar,Rigorous application of the collected and alaysed data.,
55,Pavement Management,session_1775713117_6beaaf26,2026-04-09 08:53:33,KeRRA,"Regional office (regional work planning, implementation)",Senior Engineer,5–10 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements; Traffic levels; Maintenance history; Engineer/Inspector judgement; Equity considerations (across regions/constituencies)",Somewhat consistent continuity (repeated measurements for many sections),Recorded and partially linked to condition data,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Complaint-driven inspections; Traffic management or safety considerations,Yes – measurements tend to focus on roads in poorer condition,Agree,Informal engineering judgement,Disagree,"Limited integration between data systems (condition, maintenance, planning); Institutional culture favouring established decision practices over analytical modelling; Software/tool limitations",Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Likely to consider,"Transparent modelling approach (clear methods and assumptions); Quantified uncertainty (e.g. confidence ranges); Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Very useful,Very useful,Very useful,Very useful,Moderately familiar,Slightly familiar,Slightly familiar,Slightly familiar,Deliberate and consistent budget backed interventions,A module should be included in the Road Management Systems to actualize reliable foecasting for better engineering judgements
54,Pavement Management,session_1775649946_4725f344,2026-04-08 16:09:48,KeRRA,Headquarters (national coordination),Deputy Director,> 20 years,"Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Other (specify): Design, implementation and maintenance of drainage structures within a road network","Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,Budget ceilings; Public complaints; Emergency requirements,"Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded sporadically and not linked to condition data,Agree,Not sure,,No – measurements are distributed similarly across the network,Neither agree nor disagree,Informal engineering judgement,Agree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Difficult accessibility of historical records,Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Unlikely to consider,Quantified uncertainty (e.g. confidence ranges),Extremely useful,Extremely useful,Extremely useful,Extremely useful,Slightly familiar,Not at all familiar,Not at all familiar,Not at all familiar,Removal of politicians from the Constituency Roads Committees that prioritizes roads for maintenance,No
53,Pavement Management,session_1775646596_07646f6a,2026-04-08 14:31:12,MTRD,Headquarters (national coordination),Assistant Director/Principal Engineer,5–10 years,Pavement condition assessment; Maintenance planning/prioritisation; Reporting to KRB/Ministry of Roads and Transport/Treasury; Policy formulation; Other (specify): ISO 17025:2017 Accreditation Leader,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI); Structural Number (SN); Other (please specify): Modulus of elasticity, deflation and residual life",To a large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Public complaints; Traffic levels",No systematic continuity (measurements are not repeated for the same sections),Not systematically recorded,Strongly agree,Yes,Traffic importance; Complaint-driven inspections; Traffic management or safety considerations,No – measurements are distributed similarly across the network,Neither agree nor disagree,Other (please specify): Prediction of residual life using back calculation software,Agree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records; Institutional culture favouring established decision practices over analytical modelling; Software/tool limitations",Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Very unlikely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Quantified uncertainty (e.g. confidence ranges); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB); Only when direct measurements are unavailable",Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very familiar,Moderately familiar,Moderately familiar,Slightly familiar,Proper data management system which is integrated with other agencies and independently managed by a government agency that deals with data,No
52,Pavement Management,session_1775640647_114158c2,2026-04-08 13:26:06,KeRRA,"Regional office (regional work planning, implementation)",Deputy Director,> 20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements; Traffic levels; Engineer/Inspector judgement; Equity considerations (across regions/constituencies)","Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded but generally not linked to condition data,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Equipment availability or personnel skills; Regional accessibility; Complaint-driven inspections; Traffic management or safety considerations,Yes – measurements tend to focus on roads in better condition,Strongly agree,Informal engineering judgement,Strongly agree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Institutional culture favouring established decision practices over analytical modelling; Software/tool limitations",Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Very likely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Quantified uncertainty (e.g. confidence ranges); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB); Only when direct measurements are unavailable",Extremely useful,Extremely useful,Extremely useful,Extremely useful,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,"Policy formulation to incorporate data systems as basic tools in pavement management
Enhance technical capacity through regular training to improve pavement management
Adoption of latest technological tools to manage pavement performance","I strongly recommend  that forecasting, modelling and use of condition data be adopted in road asset management and planning in all public institutions that manage roads in the county."
51,Pavement Management,session_1775636937_a04e6b95,2026-04-08 11:39:58,KeRRA,"Regional office (regional work planning, implementation)",Other (specify): Senior Assistant Roads officer,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI); Engineering site inspection without formal rating",To a very large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements; Traffic levels; Maintenance history; Engineer/Inspector judgement; Equity considerations (across regions/constituencies)",Somewhat consistent continuity (repeated measurements for many sections),Recorded and systematically linked to condition data,Agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Equipment availability or personnel skills; Regional accessibility; Roads under special programmes; Complaint-driven inspections; Traffic management or safety considerations,Yes – measurements tend to focus on roads in poorer condition,Strongly agree,"Yes – Structured statistical models (e.g., regression or trend-based models using historical condition data)",Agree,"Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records",Large impact,Large impact,Very large impact,Very large impact,Very large impact,Very likely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Quantified uncertainty (e.g. confidence ranges); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very familiar,Very familiar,Very familiar,Very familiar,Multi-sectoral Approach,All should be integrated to technology
50,Pavement Management,session_1775214052_4d01cf1b,2026-04-03 14:18:20,KeRRA,"Regional office (regional work planning, implementation)",Assistant Director/Principal Engineer,10–20 years,Maintenance planning/prioritisation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a moderate degree,Budget ceilings; Political or policy direction; Public complaints; Emergency requirements; Traffic levels; Engineer/Inspector judgement,Somewhat consistent continuity (repeated measurements for many sections),Recorded and partially linked to condition data,Agree,Yes,Traffic importance; Road class/strategic priority; Regional accessibility; Roads under special programmes,Yes – measurements tend to focus on roads in poorer condition,Agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Neither agree nor disagree,"Incomplete or inconsistent condition records; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Institutional culture favouring established decision practices over analytical modelling",Large impact,Large impact,Large impact,Large impact,Large impact,Likely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Very useful,Very useful,Very useful,Very useful,Moderately familiar,Slightly familiar,Moderately familiar,Slightly familiar,"Reskilling personnel, reliable budget allocations and data based decision making when prioritizing roads",No
49,Pavement Management,session_1775122093_250a6ef1,2026-04-02 13:13:43,KRB,Headquarters (national coordination),Director,10–20 years,Maintenance planning/prioritisation; Other (specify): Road Inventory & Condition Survey for tracking network performance,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a moderate degree,Budget ceilings; Political or policy direction; Equity considerations (across regions/constituencies),Very limited continuity (only occasional repeats),Recorded but generally not linked to condition data,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations,Yes – measurements tend to focus on roads in poorer condition,Disagree,No formal forecasting,Neither agree nor disagree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records; Institutional culture favouring established decision practices over analytical modelling; Other (please specify): Lack of a centralized depository system of data amongst the Road Agencies in Kenya",Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Cannot say either way,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very familiar,Not at all familiar,Moderately familiar,Moderately familiar,"Establishment of a centralized depository of road asset management data (road condition data, As-built drawings, etc) and regular updating.",Adoption of emerging technologies which are faster and inexpensive in capturing road condition data in Kenya.
48,Pavement Management,session_1775062791_14d98f46,2026-04-01 20:26:22,KeRRA,Headquarters (national coordination),Deputy Director,> 20 years,Pavement condition assessment; Budget preparation and justification; Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Structural Number (SN); Engineering site inspection without formal rating",To a small degree,Budget ceilings; Political or policy direction; Public complaints; Emergency requirements; Engineer/Inspector judgement,No systematic continuity (measurements are not repeated for the same sections),Recorded but generally not linked to condition data,Strongly agree,Yes,Road class/strategic priority,Yes – measurements tend to focus on roads in poorer condition,Agree,Informal engineering judgement,Agree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories,Small impact,Moderate impact,Large impact,Large impact,Large impact,Likely to consider,Independent technical review or validation,Moderately useful,Moderately useful,Very useful,Very useful,Moderately familiar,Not at all familiar,Slightly familiar,Not at all familiar,Sustained budgetary support. Adherence to Engineers prioritised roads for maintenance,This method should be adopted in our Agency
47,Pavement Management,session_1775042381_a8849523,2026-04-01 14:52:57,KeRRA,"Regional office (regional work planning, implementation)",Deputy Director,> 20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Use of HDM-4 or other modelling tools; Reporting to KRB/Ministry of Roads and Transport/Treasury,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a large degree,Budget ceilings; Political or policy direction; Equity considerations (across regions/constituencies),"Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded and partially linked to condition data,Agree,Yes,Road class/strategic priority; Roads under special programmes,Yes – measurements tend to focus on roads in better condition,Agree,No formal forecasting,Agree,Missing or unreliable maintenance histories,Large impact,Large impact,Large impact,Large impact,Large impact,Likely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Very useful,Moderately familiar,Not at all familiar,Moderately familiar,Slightly familiar,Consistency in historical data collection and storage,These are vital tools in road management whose use need to be encouraged at all times
46,Pavement Management,session_1775029016_70fbcf52,2026-04-01 10:57:41,KeRRA,"Regional office (regional work planning, implementation)",Deputy Director,10–20 years,Maintenance planning/prioritisation; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,Budget ceilings; Strategic corridor importance; Political or policy direction; Emergency requirements; Engineer/Inspector judgement; Equity considerations (across regions/constituencies),"Irregular continuity (some repeated measurements, but inconsistent over time)",Not systematically recorded,Agree,Yes,Road class/strategic priority; Budget limitations; Traffic management or safety considerations,No – measurements are distributed similarly across the network,Disagree,Informal engineering judgement,Disagree,"Incomplete or inconsistent condition records; Budget constraints; Limited integration between data systems (condition, maintenance, planning)",Moderate impact,Large impact,Small impact,Small impact,Large impact,Unlikely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Very useful,Slightly familiar,Not at all familiar,Slightly familiar,Not at all familiar,"Public participation,  consistent coordination",
45,Pavement Management,session_1774955781_4024da1c,2026-04-01 09:12:44,KeRRA,"Regional office (regional work planning, implementation)",Deputy Director,10–20 years,Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Use of HDM-4 or other modelling tools,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI)",To a moderate degree,Budget ceilings; Political or policy direction; Public complaints; Emergency requirements; Maintenance history; Engineer/Inspector judgement; Equity considerations (across regions/constituencies),Somewhat consistent continuity (repeated measurements for many sections),Not systematically recorded,Strongly agree,Yes,Road class/strategic priority; Complaint-driven inspections,Yes – measurements tend to focus on roads in poorer condition,Agree,Informal engineering judgement,Neither agree nor disagree,"Limited integration between data systems (condition, maintenance, planning)",Very large impact,Very large impact,Large impact,Large impact,Very large impact,Likely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Very useful,Extremely useful,Very useful,Very useful,Moderately familiar,Not at all familiar,Not at all familiar,Not at all familiar,"1. Resources allocation/ more budgetary allocation on research and innovation
2. Capacity building and human capital empowerment",Mainstreaming of this model in our institution will be more practical in future
44,Pavement Management,session_1774978613_35015dbc,2026-03-31 21:07:09,KeRRA,"Regional office (regional work planning, implementation)",Senior Engineer,5–10 years,Maintenance planning/prioritisation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a moderate degree,Strategic corridor importance,Fully consistent continuity (systematic repeated measurements across years for most sections),Recorded and partially linked to condition data,Agree,Yes,Road class/strategic priority,Yes – measurements tend to focus on roads in better condition,Agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Disagree,Budget constraints,Very large impact,Large impact,Large impact,Large impact,Very large impact,Unlikely to consider,Transparent modelling approach (clear methods and assumptions),Very useful,Very useful,Very useful,Very useful,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,By fully embracing the use of state of the art technology in both cooperate and implementation levels.,use of statistical methods to forecast and Model should be the back borne to any organizational  long term objectives in decision making. Most of these decisions in many third world countries are influenced through politics instead of science!
43,Pavement Management,session_1774959499_6550f2cf,2026-03-31 15:51:27,KeRRA,"Regional office (regional work planning, implementation)",Deputy Director,> 20 years,Maintenance planning/prioritisation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a moderate degree,Political or policy direction,Somewhat consistent continuity (repeated measurements for many sections),Recorded and partially linked to condition data,Agree,Yes,Budget limitations,Yes – measurements tend to focus on roads in poorer condition,Agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Neither agree nor disagree,Budget constraints,Very large impact,Large impact,Large impact,Large impact,Very large impact,Likely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Very useful,Moderately familiar,Slightly familiar,Moderately familiar,Moderately familiar,Consistency in monitoring road network behavior.,Use of Road condition data in road asset management and planning is the professional way of making decisions especially in budgeting prioritization instead of Political interference.
42,Pavement Management,session_1774956512_bae14d00,2026-03-31 14:53:16,KeRRA,"Regional office (regional work planning, implementation)",Deputy Director,> 20 years,Maintenance planning/prioritisation; Budget preparation and justification,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a very large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Political or policy direction; Emergency requirements; Engineer/Inspector judgement",Very limited continuity (only occasional repeats),Not systematically recorded,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations,Yes – measurements tend to focus on roads in better condition,Strongly agree,No formal forecasting,Strongly agree,Incomplete or inconsistent condition records; Software/tool limitations,Large impact,Large impact,Large impact,Large impact,Very large impact,Very likely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very familiar,Slightly familiar,Slightly familiar,Slightly familiar,Not sure,keeping of proper and accurate records is key. this informs what needs to be done
41,Pavement Management,session_1774954497_5c4698b4,2026-03-31 14:36:46,KeRRA,"Regional office (regional work planning, implementation)",Senior Engineer,> 20 years,Maintenance planning/prioritisation; Budget preparation and justification; Use of HDM-4 or other modelling tools; Reporting to KRB/Ministry of Roads and Transport/Treasury,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,Budget ceilings; Political or policy direction; Public complaints,Somewhat consistent continuity (repeated measurements for many sections),Recorded but generally not linked to condition data,Agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Roads under special programmes,No – measurements are distributed similarly across the network,Agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Agree,"Limited technical skills or modelling expertise; Limited integration between data systems (condition, maintenance, planning); Software/tool limitations",Large impact,Large impact,Large impact,Large impact,Large impact,Very unlikely to consider,Demonstrated agreement with measured field data; Quantified uncertainty (e.g. confidence ranges); Only when direct measurements are unavailable,Extremely useful,Very useful,Very useful,Very useful,Slightly familiar,Not at all familiar,Moderately familiar,Slightly familiar,"adaption of digitized, integrated Road Asset management system through performance based contracting","combination of accurate data, performance modelling and forecasting to optimize limited budgets"
40,Pavement Management,session_1774954498_d2237503,2026-03-31 14:10:54,KeRRA,"Regional office (regional work planning, implementation)",Senior Engineer,5–10 years,Pavement condition assessment; Maintenance planning/prioritisation; Road Management System (RMS) development and use/Data management,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Maintenance history","Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded sporadically and not linked to condition data,Strongly agree,Yes,Complaint-driven inspections,Yes – measurements tend to focus on roads in poorer condition,Agree,"Yes – Structured statistical models (e.g., regression or trend-based models using historical condition data)",Disagree,"Limited integration between data systems (condition, maintenance, planning)",Moderate impact,Moderate impact,Small impact,Moderate impact,Moderate impact,Very likely to consider,Demonstrated agreement with measured field data,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Very familiar,Not at all familiar,Very familiar,Moderately familiar,Keeping proper records on road conditions survey data for future maintenance purposes,Continous training on new technologies and use of AI in road maintenance
39,Pavement Management,session_1774952160_9f6dca97,2026-03-31 13:47:12,KeRRA,Headquarters (national coordination),Deputy Director,> 20 years,Maintenance planning/prioritisation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a small degree,Budget ceilings; Political or policy direction; Public complaints; Equity considerations (across regions/constituencies),Very limited continuity (only occasional repeats),Not systematically recorded,Disagree,Not sure,,Not sure,Strongly disagree,No formal forecasting,Neither agree nor disagree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Institutional culture favouring established decision practices over analytical modelling,Large impact,Very large impact,Large impact,Moderate impact,Very large impact,Very likely to consider,"Quantified uncertainty (e.g. confidence ranges); Approval by a recognized authority (e.g., KRB)",Very useful,Moderately useful,Very useful,Extremely useful,Moderately familiar,Not at all familiar,Moderately familiar,Moderately familiar,Linking data with planning and budgeting,Not applicable
